iso3,country,emmigrants,year,time_period,indicator
KGZ,Kyrgyzstan,11685,2014,NA,Number of emigrants - Number
TJK,Tajikistan,3287,2014,NA,Number of emigrants - Number
UZB,Uzbekistan,42228,2014,NA,Number of emigrants - Number
ALB,Albania,46525,2014,NA,Number of emigrants - Number
BGR,Bulgaria,28727,2014,NA,Number of emigrants - Number
BLR,Belarus,9219,2014,NA,Number of emigrants - Number
CZE,Czech Republic,19964,2014,NA,Number of emigrants - Number
EST,Estonia,4637,2014,NA,Number of emigrants - Number
HRV,Croatia,20858,2014,NA,Number of emigrants - Number
HUN,Hungary,10828,2014,NA,Number of emigrants - Number
LTU,Lithuania,36621,2014,NA,Number of emigrants - Number
LVA,Latvia,19017,2014,NA,Number of emigrants - Number
MDA,Republic of Moldova,2374,2014,NA,Number of emigrants - Number
MKD,The Former Yugoslav Republic of Macedonia,839,2014,NA,Number of emigrants - Number
POL,Poland,54960,2014,NA,Number of emigrants - Number
ROU,Romania,172871,2014,NA,Number of emigrants - Number
RUS,Russian Federation,310496,2014,NA,Number of emigrants - Number
SVK,Slovakia,3644,2014,NA,Number of emigrants - Number
SVN,Slovenia,14336,2014,NA,Number of emigrants - Number
UKR,Ukraine,21599,2014,NA,Number of emigrants - Number
AZE,Azerbaijan,1557,2015,2015,Number of emigrants - Number
GEO,Georgia,95965,2015,NA,Number of emigrants - Number
KAZ,Kazakhstan,30047,2015,NA,Number of emigrants - Number
KGZ,Kyrgyzstan,7788,2015,NA,Number of emigrants - Number
TJK,Tajikistan,2871,2015,NA,Number of emigrants - Number
UZB,Uzbekistan,31765,2015,NA,Number of emigrants - Number
ALB,Albania,41443,2015,NA,Number of emigrants - Number
