iso3,country,year,education_classification,unemployment (thousands)
AZE,Azerbaijan,2007,Education (Aggregate levels): Advanced,41.8
AZE,Azerbaijan,2008,Education (Aggregate levels): Total,261.4
AZE,Azerbaijan,2008,Education (Aggregate levels): Basic,22.8
AZE,Azerbaijan,2008,Education (Aggregate levels): Intermediate,205.4
AZE,Azerbaijan,2008,Education (Aggregate levels): Advanced,33.2
AZE,Azerbaijan,2009,Education (Aggregate levels): Total,260.192
AZE,Azerbaijan,2009,Education (Aggregate levels): Basic,25.758
AZE,Azerbaijan,2009,Education (Aggregate levels): Intermediate,151.911
AZE,Azerbaijan,2009,Education (Aggregate levels): Advanced,82.523
AZE,Azerbaijan,2010,Education (Aggregate levels): Total,258.3
AZE,Azerbaijan,2010,Education (Aggregate levels): Basic,29.882
AZE,Azerbaijan,2010,Education (Aggregate levels): Intermediate,138.569
AZE,Azerbaijan,2010,Education (Aggregate levels): Advanced,89.849
AZE,Azerbaijan,2011,Education (Aggregate levels): Total,250.753
AZE,Azerbaijan,2011,Education (Aggregate levels): Basic,39
AZE,Azerbaijan,2011,Education (Aggregate levels): Intermediate,132
AZE,Azerbaijan,2011,Education (Aggregate levels): Advanced,79.753
AZE,Azerbaijan,2012,Education (Aggregate levels): Total,243.102
AZE,Azerbaijan,2012,Education (Aggregate levels): Basic,33.3
AZE,Azerbaijan,2012,Education (Aggregate levels): Intermediate,137.2
AZE,Azerbaijan,2012,Education (Aggregate levels): Advanced,72.602
AZE,Azerbaijan,2004,Education (Aggregate levels): Total,348.7
AZE,Azerbaijan,2004,Education (Aggregate levels): Basic,22.2
AZE,Azerbaijan,2004,Education (Aggregate levels): Intermediate,290.6
AZE,Azerbaijan,2004,Education (Aggregate levels): Advanced,35.9
AZE,Azerbaijan,2005,Education (Aggregate levels): Total,317.8
AZE,Azerbaijan,2005,Education (Aggregate levels): Basic,15.4
AZE,Azerbaijan,2005,Education (Aggregate levels): Intermediate,265.3
AZE,Azerbaijan,2005,Education (Aggregate levels): Advanced,37.1
AZE,Azerbaijan,1999,Education (Aggregate levels): Total,45.211
AZE,Azerbaijan,1999,Education (Aggregate levels): Basic,3.021
AZE,Azerbaijan,1999,Education (Aggregate levels): Intermediate,29.166
AZE,Azerbaijan,1999,Education (Aggregate levels): Advanced,13.024
AZE,Azerbaijan,2000,Education (Aggregate levels): Total,43.739
AZE,Azerbaijan,2000,Education (Aggregate levels): Basic,2.091
AZE,Azerbaijan,2000,Education (Aggregate levels): Intermediate,29.749
AZE,Azerbaijan,2000,Education (Aggregate levels): Advanced,11.899
AZE,Azerbaijan,2001,Education (Aggregate levels): Total,48.446
AZE,Azerbaijan,2001,Education (Aggregate levels): Basic,2.197
AZE,Azerbaijan,2001,Education (Aggregate levels): Intermediate,33.879
AZE,Azerbaijan,2001,Education (Aggregate levels): Advanced,12.37
AZE,Azerbaijan,2002,Education (Aggregate levels): Total,50.963
AZE,Azerbaijan,2002,Education (Aggregate levels): Basic,2.572
AZE,Azerbaijan,2002,Education (Aggregate levels): Intermediate,35.134
AZE,Azerbaijan,2002,Education (Aggregate levels): Advanced,13.257
BEL,Belgium,1998,Education (Aggregate levels): Total,396.5203
BEL,Belgium,1998,Education (Aggregate levels): Basic,205.8378
BEL,Belgium,1998,Education (Aggregate levels): Intermediate,140.6049
BEL,Belgium,1998,Education (Aggregate levels): Advanced,50.0776
BEL,Belgium,1999,Education (Aggregate levels): Total,377.5046
BEL,Belgium,1999,Education (Aggregate levels): Basic,198.3689
BEL,Belgium,1999,Education (Aggregate levels): Intermediate,128.1005
BEL,Belgium,1999,Education (Aggregate levels): Advanced,51.0351
BEL,Belgium,2000,Education (Aggregate levels): Total,290.4937
BEL,Belgium,2000,Education (Aggregate levels): Basic,145.4895
BEL,Belgium,2000,Education (Aggregate levels): Intermediate,107.5084
BEL,Belgium,2000,Education (Aggregate levels): Advanced,37.4958
BEL,Belgium,2001,Education (Aggregate levels): Total,265.9137
BEL,Belgium,2001,Education (Aggregate levels): Basic,142.8741
BEL,Belgium,2001,Education (Aggregate levels): Intermediate,78.9058
BEL,Belgium,2001,Education (Aggregate levels): Advanced,44.1337
BEL,Belgium,2002,Education (Aggregate levels): Total,300.788
BEL,Belgium,2002,Education (Aggregate levels): Basic,144.7908
BEL,Belgium,2002,Education (Aggregate levels): Intermediate,106.0318
BEL,Belgium,2002,Education (Aggregate levels): Advanced,49.9654
BEL,Belgium,2003,Education (Aggregate levels): Total,337.278
BEL,Belgium,2003,Education (Aggregate levels): Basic,148.6924
BEL,Belgium,2003,Education (Aggregate levels): Intermediate,133.6469
BEL,Belgium,2003,Education (Aggregate levels): Advanced,54.9387
BEL,Belgium,2004,Education (Aggregate levels): Total,329.3888
BEL,Belgium,2004,Education (Aggregate levels): Basic,148.2425
BEL,Belgium,2004,Education (Aggregate levels): Intermediate,124.2836
BEL,Belgium,2004,Education (Aggregate levels): Advanced,56.8627
BEL,Belgium,2005,Education (Aggregate levels): Total,390.4311
BEL,Belgium,2005,Education (Aggregate levels): Less than basic,28.6716
BEL,Belgium,2005,Education (Aggregate levels): Basic,136.513
BEL,Belgium,2005,Education (Aggregate levels): Intermediate,153.299
BEL,Belgium,2005,Education (Aggregate levels): Advanced,71.9475
BEL,Belgium,2006,Education (Aggregate levels): Total,383.1994
BEL,Belgium,2006,Education (Aggregate levels): Less than basic,28.054
BEL,Belgium,2006,Education (Aggregate levels): Basic,133.4061
BEL,Belgium,2006,Education (Aggregate levels): Intermediate,146.2283
BEL,Belgium,2006,Education (Aggregate levels): Advanced,75.511
BEL,Belgium,2007,Education (Aggregate levels): Total,353.005
BEL,Belgium,2007,Education (Aggregate levels): Less than basic,27.219
BEL,Belgium,2007,Education (Aggregate levels): Basic,119.601
BEL,Belgium,2007,Education (Aggregate levels): Intermediate,141.2475
BEL,Belgium,2007,Education (Aggregate levels): Advanced,64.9375
BEL,Belgium,2008,Education (Aggregate levels): Total,333.3833
BEL,Belgium,2008,Education (Aggregate levels): Less than basic,22.1969
BEL,Belgium,2008,Education (Aggregate levels): Basic,113.0255
BEL,Belgium,2008,Education (Aggregate levels): Intermediate,134.8534
BEL,Belgium,2008,Education (Aggregate levels): Advanced,63.3075
BEL,Belgium,2009,Education (Aggregate levels): Total,379.5868
BEL,Belgium,2009,Education (Aggregate levels): Less than basic,22.3377
BEL,Belgium,2009,Education (Aggregate levels): Basic,119.2531
BEL,Belgium,2009,Education (Aggregate levels): Intermediate,156.8403
BEL,Belgium,2009,Education (Aggregate levels): Advanced,81.1557
BEL,Belgium,2010,Education (Aggregate levels): Total,405.8814
BEL,Belgium,2010,Education (Aggregate levels): Less than basic,31.7436
BEL,Belgium,2010,Education (Aggregate levels): Basic,135.4405
BEL,Belgium,2010,Education (Aggregate levels): Intermediate,154.0315
BEL,Belgium,2010,Education (Aggregate levels): Advanced,84.6659
BEL,Belgium,2011,Education (Aggregate levels): Total,346.6976
BEL,Belgium,2011,Education (Aggregate levels): Less than basic,23.5227
BEL,Belgium,2011,Education (Aggregate levels): Basic,121.1448
BEL,Belgium,2011,Education (Aggregate levels): Intermediate,130.4774
BEL,Belgium,2011,Education (Aggregate levels): Advanced,71.5527
BEL,Belgium,2012,Education (Aggregate levels): Total,369.0096
BEL,Belgium,2012,Education (Aggregate levels): Less than basic,25.5847
BEL,Belgium,2012,Education (Aggregate levels): Basic,117.9046
BEL,Belgium,2012,Education (Aggregate levels): Intermediate,148.9318
BEL,Belgium,2012,Education (Aggregate levels): Advanced,76.5884
BEL,Belgium,2013,Education (Aggregate levels): Total,416.8095
BEL,Belgium,2013,Education (Aggregate levels): Less than basic,24.5337
BEL,Belgium,2013,Education (Aggregate levels): Basic,133.1182
BEL,Belgium,2013,Education (Aggregate levels): Intermediate,162.6249
BEL,Belgium,2013,Education (Aggregate levels): Advanced,96.5327
BEL,Belgium,2014,Education (Aggregate levels): Total,423.3101
BEL,Belgium,2014,Education (Aggregate levels): Less than basic,21.4764
BEL,Belgium,2014,Education (Aggregate levels): Basic,135.47
BEL,Belgium,2014,Education (Aggregate levels): Intermediate,170.1974
BEL,Belgium,2014,Education (Aggregate levels): Advanced,96.1663
BEL,Belgium,2015,Education (Aggregate levels): Total,421.8482
BEL,Belgium,2015,Education (Aggregate levels): Less than basic,19.5313
BEL,Belgium,2015,Education (Aggregate levels): Basic,134.7914
